Date,Open,High,Low,Close,Adj Close,Volume
2022-01-25,7675.0,7775.0,7625.0,7775.0,744.287.060.546.875,106796900
2022-01-26,7700.0,7750.0,7650.0,7700.0,737.107.421.875,53350200
2022-01-27,7625.0,7800.0,7625.0,7800.0,7.466.802.734.375,71945100
2022-01-28,7800.0,7825.0,7700.0,7775.0,744.287.060.546.875,70595000
2022-01-31,7775.0,7775.0,7625.0,7625.0,72.992.783.203.125,68122000
2022-02-02,7775.0,7800.0,7675.0,7800.0,7.466.802.734.375,65308100
2022-02-03,7800.0,7825.0,7700.0,7725.0,739.500.634.765.625,35100600
2022-02-04,7750.0,7800.0,7700.0,7725.0,739.500.634.765.625,39324700
2022-02-07,7775.0,7800.0,7700.0,7800.0,7.466.802.734.375,56813200
2022-02-08,7750.0,7850.0,7725.0,7725.0,739.500.634.765.625,61883100
2022-02-09,7850.0,7950.0,7800.0,7950.0,761.039.453.125,108922200
2022-02-10,7950.0,7950.0,7750.0,7750.0,74.189.384.765.625,93277000
2022-02-11,7675.0,7825.0,7650.0,7825.0,7.490.734.375,71968800
2022-02-14,7750.0,7775.0,7700.0,7700.0,737.107.421.875,57710700
2022-02-15,7750.0,7875.0,7725.0,7875.0,75.385.986.328.125,55617000
2022-02-16,7850.0,7975.0,7825.0,7975.0,763.432.666.015.625,77055100
2022-02-17,7850.0,7925.0,7800.0,7900.0,756.253.125,48704600
2022-02-18,7950.0,7950.0,7850.0,7925.0,7.586.462.890.625,56813400
2022-02-21,7925.0,7975.0,7900.0,7950.0,761.039.453.125,43821700
2022-02-22,7900.0,7950.0,7850.0,7900.0,756.253.125,80095500
2022-02-23,7900.0,8100.0,7875.0,8050.0,770.612.353.515.625,99240300
2022-02-24,8125.0,8150.0,7925.0,8000.0,76.582.587.890.625,124947700
2022-02-25,7950.0,8175.0,7925.0,8050.0,770.612.353.515.625,135899900
2022-03-01,8000.0,8175.0,8000.0,8050.0,770.612.353.515.625,136616800
2022-03-02,8225.0,8225.0,7975.0,7975.0,763.432.666.015.625,100301000
2022-03-04,7975.0,8025.0,7900.0,7900.0,756.253.125,132983400
2022-03-07,7800.0,7850.0,7700.0,7700.0,737.107.421.875,130990900
2022-03-08,7700.0,7850.0,7650.0,7650.0,73.232.099.609.375,119256500
2022-03-09,7700.0,7950.0,7650.0,7850.0,7.514.666.015.625,132814500
2022-03-10,7925.0,7975.0,7800.0,7925.0,7.586.462.890.625,86484000
2022-03-11,7725.0,7950.0,7725.0,7950.0,761.039.453.125,61053900
2022-03-14,8050.0,8100.0,7950.0,8075.0,773.005.517.578.125,78432100
2022-03-15,8150.0,8200.0,8075.0,8150.0,780.185.107.421.875,111214500
2022-03-16,8275.0,8275.0,8075.0,8200.0,78.497.158.203.125,149761300
2022-03-17,8300.0,8300.0,8000.0,8000.0,76.582.587.890.625,132439400
2022-03-18,8000.0,8100.0,7900.0,7900.0,756.253.125,143981700
2022-03-21,7800.0,7950.0,7800.0,7900.0,756.253.125,85485500
2022-03-22,7900.0,7950.0,7875.0,7925.0,7.586.462.890.625,60010900
2022-03-23,7925.0,7950.0,7825.0,7900.0,756.253.125,82208000
2022-03-24,7850.0,7950.0,7800.0,7925.0,7.586.462.890.625,95245100
2022-03-25,7900.0,7950.0,7900.0,7950.0,761.039.453.125,85101200
2022-03-28,7825.0,7900.0,7800.0,7900.0,7.678.431.640.625,83911500
2022-03-29,7875.0,7900.0,7825.0,7850.0,7.629.833.984.375,62180600
2022-03-30,7900.0,7900.0,7825.0,7875.0,76.541.328.125,71430600
2022-03-31,7925.0,8000.0,7875.0,7975.0,7.751.328.125,112691900
2022-04-01,8075.0,8075.0,7850.0,7925.0,770.273.046.875,105575400
2022-04-04,7925.0,7925.0,7825.0,7900.0,7.678.431.640.625,57321200
2022-04-05,7900.0,7900.0,7850.0,7900.0,7.678.431.640.625,48528300
2022-04-06,7825.0,7850.0,7750.0,7750.0,7.532.638.671.875,119263000
2022-04-07,7725.0,7825.0,7700.0,7750.0,7.532.638.671.875,68619400
2022-04-08,7800.0,7875.0,7775.0,7850.0,7.629.833.984.375,69791600
2022-04-11,7825.0,7875.0,7725.0,7725.0,750.833.935.546.875,62776200
2022-04-12,7725.0,7800.0,7700.0,7800.0,758.123.583.984.375,73471300
2022-04-13,7800.0,7850.0,7750.0,7800.0,758.123.583.984.375,57622100
2022-04-14,7800.0,7800.0,7700.0,7700.0,7.484.041.015.625,93342900
2022-04-18,7700.0,7725.0,7625.0,7700.0,7.484.041.015.625,68464700
2022-04-19,7700.0,7700.0,7625.0,7625.0,741.114.453.125,98632000
2022-04-20,7725.0,7725.0,7625.0,7650.0,7.435.443.359.375,124388800
2022-04-21,7800.0,7925.0,7750.0,7925.0,770.273.046.875,129323400
2022-04-22,7850.0,7925.0,7800.0,7875.0,76.541.328.125,85956100
2022-04-25,7875.0,8000.0,7825.0,8000.0,7.775.626.953.125,91279600
2022-04-26,7925.0,8125.0,7925.0,8125.0,789.712.109.375,128360900
2022-04-27,8075.0,8200.0,8075.0,8200.0,7.970.017.578.125,89463100
2022-04-28,8250.0,8250.0,8075.0,8125.0,789.712.109.375,133730600
2022-05-09,7875.0,7900.0,7600.0,7600.0,738.684.521.484.375,456796600
2022-05-10,7250.0,7600.0,7250.0,7525.0,731.394.921.875,268445700
2022-05-11,7525.0,7700.0,7450.0,7650.0,7.435.443.359.375,156535200
2022-05-12,7525.0,7550.0,7275.0,7275.0,70.709.609.375,240529600
2022-05-13,7250.0,7475.0,7250.0,7325.0,711.955.810.546.875,212968600
2022-05-17,7275.0,7475.0,7275.0,7400.0,7.192.455.078.125,159657600
2022-05-18,7500.0,7575.0,7375.0,7575.0,736.254.638.671.875,153514300
